ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length
1,Location 1 - Location 1,1,1,1,0.000000000000000
2,Location 1 - Location 5,1,5,2,28350.235422166279022
3,Location 1 - Location 7,1,7,3,34368.955160401412286
4,Location 1 - Location 6,1,6,4,37526.857211688206007
5,Location 1 - Location 4,1,4,5,55273.821084092684032
6,Location 1 - Location 2,1,2,6,86956.704661253097584
7,Location 1 - Location 3,1,3,7,88816.127975655297632
8,Location 1 - Location 10,1,10,8,114111.921093264434603
9,Location 1 - Location 8,1,8,9,121774.326998124510283
10,Location 1 - Location 9,1,9,10,126581.239512841944816
11,Location 2 - Location 2,2,2,1,0.000000000000000
12,Location 2 - Location 10,2,10,2,27155.216432011289726
13,Location 2 - Location 4,2,4,3,31682.883577160449931
14,Location 2 - Location 6,2,6,4,52877.494407287260401
15,Location 2 - Location 8,2,8,5,53818.302047693985514
16,Location 2 - Location 9,2,9,6,59834.587463906143967
17,Location 2 - Location 3,2,3,7,64318.117232794211304
18,Location 2 - Location 5,2,5,8,80405.751825014725910
19,Location 2 - Location 7,2,7,9,83567.212194330335478
20,Location 2 - Location 1,2,1,10,86956.704661253112135
21,Location 3 - Location 3,3,3,1,0.000000000000000
22,Location 3 - Location 8,3,8,2,34025.357801740618015
23,Location 3 - Location 9,3,9,3,37995.558918799608364
24,Location 3 - Location 4,3,4,4,57968.241516856745875
25,Location 3 - Location 10,3,10,5,59752.328561973401520
26,Location 3 - Location 5,3,5,6,62774.663504745360115
27,Location 3 - Location 2,3,2,7,64318.117232794247684
28,Location 3 - Location 6,3,6,8,70682.102159115776885
29,Location 3 - Location 1,3,1,9,88816.127975655297632
30,Location 3 - Location 7,3,7,10,102743.979528189112898
31,Location 4 - Location 4,4,4,1,0.000000000000000
32,Location 4 - Location 6,4,6,2,25773.181266050123668
33,Location 4 - Location 2,4,2,3,31682.883577160439017
34,Location 4 - Location 5,4,5,4,54730.759165167422907
35,Location 4 - Location 1,4,1,5,55273.821084092654928
36,Location 4 - Location 3,4,3,6,57968.241516856709495
37,Location 4 - Location 7,4,7,7,57998.186612189943844
38,Location 4 - Location 10,4,10,8,58838.100009171721467
39,Location 4 - Location 8,4,8,9,82296.756968146248255
40,Location 4 - Location 9,4,9,10,87739.469123659568140
41,Location 5 - Location 5,5,5,1,0.000000000000000
42,Location 5 - Location 1,5,1,2,28350.235422166279022
43,Location 5 - Location 6,5,6,3,46581.334352484023839
44,Location 5 - Location 4,5,4,4,54730.759165167422907
45,Location 5 - Location 7,5,7,5,61046.098276736229309
46,Location 5 - Location 3,5,3,6,62774.663504745360115
47,Location 5 - Location 2,5,2,7,80405.751825014725910
48,Location 5 - Location 8,5,8,8,96569.573924873082433
49,Location 5 - Location 9,5,9,9,100539.775041931992746
50,Location 5 - Location 10,5,10,10,100910.496798023188603
51,Location 6 - Location 6,6,6,1,0.000000000000000
52,Location 6 - Location 4,6,4,2,25773.181266050127306
53,Location 6 - Location 1,6,1,3,37526.857211688227835
54,Location 6 - Location 7,6,7,4,38716.729734197237121
55,Location 6 - Location 5,6,5,5,46581.334352484038391
56,Location 6 - Location 2,6,2,6,52877.494407287274953
57,Location 6 - Location 3,6,3,7,70682.102159115747781
58,Location 6 - Location 10,6,10,8,80032.710839298582869
59,Location 6 - Location 8,6,8,9,96670.372895429842174
60,Location 6 - Location 9,6,9,10,102113.085050943162059
61,Location 7 - Location 7,7,7,1,0.000000000000000
62,Location 7 - Location 1,7,1,2,34368.955160401405010
63,Location 7 - Location 6,7,6,3,38716.729734197258949
64,Location 7 - Location 4,7,4,4,57998.186612189980224
65,Location 7 - Location 5,7,5,5,61046.098276736207481
66,Location 7 - Location 2,7,2,6,83567.212194330277271
67,Location 7 - Location 3,7,3,7,102743.979528189127450
68,Location 7 - Location 10,7,10,8,110722.428626341614290
69,Location 7 - Location 8,7,8,9,128732.250264503178187
70,Location 7 - Location 9,7,9,10,134174.962420016498072
71,Location 8 - Location 8,8,8,1,0.000000000000000
72,Location 8 - Location 9,8,9,2,6903.776697674431489
73,Location 8 - Location 3,8,3,3,34025.357801740625291
74,Location 8 - Location 10,8,10,4,41265.946174893790158
75,Location 8 - Location 2,8,2,5,53818.302047693970962
76,Location 8 - Location 4,8,4,6,82296.756968146204599
77,Location 8 - Location 5,8,5,7,96569.573924873111537
78,Location 8 - Location 6,8,6,8,96670.372895429885830
79,Location 8 - Location 1,8,1,9,121774.326998124495731
80,Location 8 - Location 7,8,7,10,128732.250264503163635
81,Location 9 - Location 9,9,9,1,0.000000000000000
82,Location 9 - Location 8,9,8,2,6903.776697674430579
83,Location 9 - Location 3,9,3,3,37995.558918799593812
84,Location 9 - Location 10,9,10,4,47282.231591105948610
