year,gas,if_2009
0,2.11,1.21
1,1.92,1.2342
2,2.04,1.258884
3,2.16,1.28406168
4,2.21,1.309742914
5,2.23,1.335937772
6,2.26,1.362656527
7,2.3,1.389909658
8,2.35,1.417707851
9,2.43,1.446062008
10,2.53,1.474983248
11,2.59,1.504482913
12,2.65,1.534572571
13,2.71,1.565264023
14,2.77,1.596569303
15,2.83,1.628500689
16,2.89,1.661070703
17,2.95,1.694292117
18,3.01,1.72817796
19,3.07,1.762741519
20,3.13,1.797996349
21,3.19,1.833956276
22,3.25,1.870635402
23,3.31,1.90804811
24,3.37,1.946209072
25,3.43,1.985133253
26,3.49,2.024835918
27,3.55,2.065332637
28,3.61,2.106639289
29,3.67,2.148772075
30,3.73,2.191747517
31,3.79,2.235582467
32,3.85,2.280294116
33,3.91,2.325899999
34,3.97,2.372417999
35,4.03,2.419866359
36,4.09,2.468263686
37,4.15,2.51762896
38,4.21,2.567981539
39,4.27,2.61934117
40,4.33,2.671727993
41,4.39,2.725162553
42,4.45,2.779665804
43,4.51,2.83525912
44,4.57,2.891964302
45,4.63,2.949803588
46,4.69,3.00879966
47,4.75,3.068975653
48,4.81,3.130355166
49,4.87,3.19296227
